Hourly measurement data supplied by UK-air on 13/02/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Dundee Mains Loan",
Latitude,,56.475434,,
Longitude,,-2.959861,,
Site Type,,Urban Background,,
Zone,,North East Scotland,,
Agglomeration,,#N/A,,
Local Authority,,"Dundee",,
Date,Time,"Nitrogen dioxide",Status
2024-01-06,01:00:00,11.52883,V ugm-3
2024-01-06,02:00:00,5.47705,V ugm-3
2024-01-06,03:00:00,10.32665,V ugm-3
2024-01-06,04:00:00,6.35512,V ugm-3
2024-01-06,05:00:00,3.82042,V ugm-3
2024-01-06,06:00:00,3.20151,V ugm-3
2024-01-06,07:00:00,4.3454,V ugm-3
2024-01-06,08:00:00,5.77666,V ugm-3
2024-01-06,09:00:00,10.51266,V ugm-3
2024-01-06,10:00:00,11.8793,V ugm-3
2024-01-06,11:00:00,10.56013,V ugm-3
2024-01-06,12:00:00,15.75564,V ugm-3
2024-01-06,13:00:00,14.65593,V ugm-3
2024-01-06,14:00:00,9.73105,V ugm-3
2024-01-06,15:00:00,9.0498,V ugm-3
2024-01-06,16:00:00,14.06015,V ugm-3
2024-01-06,17:00:00,22.61141,V ugm-3
2024-01-06,18:00:00,28.99212,V ugm-3
2024-01-06,19:00:00,29.71527,V ugm-3
2024-01-06,20:00:00,15.35187,V ugm-3
2024-01-06,21:00:00,13.63138,V ugm-3
2024-01-06,22:00:00,16.55481,V ugm-3
2024-01-06,23:00:00,13.72903,V ugm-3
2024-01-06,24:00:00,6.54855,V ugm-3
2024-01-07,01:00:00,4.3322,V ugm-3
2024-01-07,02:00:00,4.143,V ugm-3
2024-01-07,03:00:00,4.11167,V ugm-3
2024-01-07,04:00:00,3.14962,V ugm-3
2024-01-07,05:00:00,9.13933,V ugm-3
2024-01-07,06:00:00,10.72431,V ugm-3
2024-01-07,07:00:00,7.17285,V ugm-3
2024-01-07,08:00:00,15.13458,V ugm-3
2024-01-07,09:00:00,17.17839,V ugm-3
2024-01-07,10:00:00,10.87898,V ugm-3
2024-01-07,11:00:00,28.80297,V ugm-3
2024-01-07,12:00:00,27.54601,V ugm-3
2024-01-07,13:00:00,20.07696,V ugm-3
2024-01-07,14:00:00,19.61813,V ugm-3
2024-01-07,15:00:00,32.68264,V ugm-3
2024-01-07,16:00:00,45.16679,V ugm-3
2024-01-07,17:00:00,50.60757,V ugm-3
2024-01-07,18:00:00,49.12879,V ugm-3
2024-01-07,19:00:00,37.41632,V ugm-3
2024-01-07,20:00:00,14.63506,V ugm-3
2024-01-07,21:00:00,20.27399,V ugm-3
2024-01-07,22:00:00,11.53096,V ugm-3
2024-01-07,23:00:00,8.89049,V ugm-3
2024-01-07,24:00:00,12.25767,V ugm-3
2024-01-08,01:00:00,13.22673,V ugm-3
2024-01-08,02:00:00,9.31773,V ugm-3
2024-01-08,03:00:00,6.22867,V ugm-3
2024-01-08,04:00:00,5.82299,V ugm-3
2024-01-08,05:00:00,8.33248,V ugm-3
2024-01-08,06:00:00,7.88812,V ugm-3
2024-01-08,07:00:00,28.38281,V ugm-3
2024-01-08,08:00:00,32.52418,V ugm-3
2024-01-08,09:00:00,49.01071,V ugm-3
2024-01-08,10:00:00,48.79215,V ugm-3
2024-01-08,11:00:00,36.66405,V ugm-3
2024-01-08,12:00:00,61.34709,V ugm-3
2024-01-08,13:00:00,45.3134,V ugm-3
2024-01-08,14:00:00,53.66635,V ugm-3
2024-01-08,15:00:00,57.20571,V ugm-3
2024-01-08,16:00:00,56.03109,V ugm-3
2024-01-08,17:00:00,48.93888,V ugm-3
2024-01-08,18:00:00,38.45594,V ugm-3
2024-01-08,19:00:00,36.47385,V ugm-3
2024-01-08,20:00:00,25.79033,V ugm-3
2024-01-08,21:00:00,11.81931,V ugm-3
2024-01-08,22:00:00,11.36569,V ugm-3
2024-01-08,23:00:00,9.2563,V ugm-3
2024-01-08,24:00:00,7.69451,V ugm-3
2024-01-09,01:00:00,6.78661,V ugm-3
2024-01-09,02:00:00,4.89006,V ugm-3
2024-01-09,03:00:00,5.4645,V ugm-3
2024-01-09,04:00:00,4.3262,V ugm-3
2024-01-09,05:00:00,6.67672,V ugm-3
2024-01-09,06:00:00,8.67103,V ugm-3
2024-01-09,07:00:00,14.8822,V ugm-3
2024-01-09,08:00:00,18.80972,V ugm-3
2024-01-09,09:00:00,28.07986,V ugm-3
2024-01-09,10:00:00,27.62252,V ugm-3
2024-01-09,11:00:00,20.03874,V ugm-3
2024-01-09,12:00:00,18.67346,V ugm-3
2024-01-09,13:00:00,15.57048,V ugm-3
2024-01-09,14:00:00,14.76793,V ugm-3
2024-01-09,15:00:00,No data,V ugm-3
2024-01-09,16:00:00,26.2004,V ugm-3
2024-01-09,17:00:00,30.52448,V ugm-3
2024-01-09,18:00:00,21.03652,V ugm-3
2024-01-09,19:00:00,16.49859,V ugm-3
2024-01-09,20:00:00,13.29206,V ugm-3
2024-01-09,21:00:00,10.64121,V ugm-3
2024-01-09,22:00:00,6.12866,V ugm-3
2024-01-09,23:00:00,4.2819,V ugm-3
2024-01-09,24:00:00,3.51632,V ugm-3
2024-01-10,01:00:00,3.76677,V ugm-3
2024-01-10,02:00:00,6.40499,V ugm-3
2024-01-10,03:00:00,4.65622,V ugm-3
2024-01-10,04:00:00,3.7508,V ugm-3
2024-01-10,05:00:00,3.81165,V ugm-3
2024-01-10,06:00:00,4.13989,V ugm-3
2024-01-10,07:00:00,5.51554,V ugm-3
2024-01-10,08:00:00,13.66437,V ugm-3
2024-01-10,09:00:00,20.84323,V ugm-3
2024-01-10,10:00:00,15.20783,V ugm-3
2024-01-10,11:00:00,12.59297,V ugm-3
2024-01-10,12:00:00,9.29951,V ugm-3
2024-01-10,13:00:00,7.88144,V ugm-3
2024-01-10,14:00:00,7.69888,V ugm-3
2024-01-10,15:00:00,10.85219,V ugm-3
2024-01-10,16:00:00,10.52211,V ugm-3
2024-01-10,17:00:00,11.58796,V ugm-3
2024-01-10,18:00:00,7.80952,V ugm-3
2024-01-10,19:00:00,7.23049,V ugm-3
2024-01-10,20:00:00,6.66806,V ugm-3
2024-01-10,21:00:00,6.7492,V ugm-3
2024-01-10,22:00:00,3.86143,V ugm-3
2024-01-10,23:00:00,3.13856,V ugm-3
2024-01-10,24:00:00,3.08693,V ugm-3
2024-01-11,01:00:00,1.83338,V ugm-3
2024-01-11,02:00:00,1.38112,V ugm-3
2024-01-11,03:00:00,1.2294,V ugm-3
2024-01-11,04:00:00,1.46347,V ugm-3
2024-01-11,05:00:00,1.85059,V ugm-3
2024-01-11,06:00:00,3.58308,V ugm-3
2024-01-11,07:00:00,6.8328,V ugm-3
2024-01-11,08:00:00,13.91264,V ugm-3
2024-01-11,09:00:00,29.9547,V ugm-3
2024-01-11,10:00:00,31.32973,V ugm-3
2024-01-11,11:00:00,32.33983,V ugm-3
2024-01-11,12:00:00,38.59341,V ugm-3
2024-01-11,13:00:00,33.79501,V ugm-3
2024-01-11,14:00:00,19.31479,V ugm-3
2024-01-11,15:00:00,23.93954,V ugm-3
2024-01-11,16:00:00,35.76834,V ugm-3
2024-01-11,17:00:00,47.65373,V ugm-3
2024-01-11,18:00:00,51.51148,V ugm-3
2024-01-11,19:00:00,51.68422,V ugm-3
2024-01-11,20:00:00,32.30625,V ugm-3
2024-01-11,21:00:00,35.25282,V ugm-3
2024-01-11,22:00:00,44.63993,V ugm-3
2024-01-11,23:00:00,35.72995,V ugm-3
2024-01-11,24:00:00,21.25703,V ugm-3
2024-01-12,01:00:00,15.37938,V ugm-3
2024-01-12,02:00:00,7.51757,V ugm-3
2024-01-12,03:00:00,8.12937,V ugm-3
2024-01-12,04:00:00,6.65169,V ugm-3
2024-01-12,05:00:00,5.20515,V ugm-3
2024-01-12,06:00:00,9.75077,V ugm-3
2024-01-12,07:00:00,5.77631,V ugm-3
2024-01-12,08:00:00,7.39958,V ugm-3
2024-01-12,09:00:00,13.52429,V ugm-3
2024-01-12,10:00:00,7.16004,V ugm-3
2024-01-12,11:00:00,6.57024,V ugm-3
2024-01-12,12:00:00,8.09209,V ugm-3
2024-01-12,13:00:00,7.07299,V ugm-3
2024-01-12,14:00:00,6.8409,V ugm-3
2024-01-12,15:00:00,8.50648,V ugm-3
2024-01-12,16:00:00,10.85582,V ugm-3
2024-01-12,17:00:00,13.91631,V ugm-3
2024-01-12,18:00:00,15.55635,V ugm-3
2024-01-12,19:00:00,11.36472,V ugm-3
